"binary","filename","configuration","rate","time"
"new","module/module-require.js","n=10000 type='.json'",25389.289017595434,0.393866878
"new","module/module-require.js","n=10000 type='dir'",10269.713010661928,0.973737045
"old","module/module-require.js","n=10000 type='.js'",12563.87005100254,0.795933097
"old","module/module-require.js","n=10000 type='.json'",23801.618781891655,0.420139491
"old","module/module-require.js","n=10000 type='dir'",10328.652240094107,0.968180530
"new","module/module-require.js","n=10000 type='.js'",13013.095387600213,0.768456674
"new","module/module-require.js","n=10000 type='.json'",25893.056570254095,0.386203922
"new","module/module-require.js","n=10000 type='dir'",10193.343267962753,0.981032399
"old","module/module-require.js","n=10000 type='.js'",12562.728782680475,0.796005404
"old","module/module-require.js","n=10000 type='.json'",23953.423659969307,0.417476856
"old","module/module-require.js","n=10000 type='dir'",10369.96944123481,0.964322996
"new","module/module-require.js","n=10000 type='.js'",11726.394083595149,0.852777071
"new","module/module-require.js","n=10000 type='.json'",26262.816405417037,0.380766474
"new","module/module-require.js","n=10000 type='dir'",10353.468030109489,0.965859939
"old","module/module-require.js","n=10000 type='.js'",12561.88316537166,0.796058988
"old","module/module-require.js","n=10000 type='.json'",24011.915730690795,0.416459899
"old","module/module-require.js","n=10000 type='dir'",10246.511348763412,0.975941924
"new","module/module-require.js","n=10000 type='.js'",13138.03013899324,0.761149114
"new","module/module-require.js","n=10000 type='.json'",25647.04842289695,0.389908415
"new","module/module-require.js","n=10000 type='dir'",10228.623785506528,0.977648627
"old","module/module-require.js","n=10000 type='.js'",12502.681028034598,0.799828451
"old","module/module-require.js","n=10000 type='.json'",23908.727609889018,0.418257306
"old","module/module-require.js","n=10000 type='dir'",10455.940289337073,0.956394138
"new","module/module-require.js","n=10000 type='.js'",13154.61788690906,0.760189318
"new","module/module-require.js","n=10000 type='.json'",25601.701886445786,0.390599033
"new","module/module-require.js","n=10000 type='dir'",10376.191596784582,0.963744733
"old","module/module-require.js","n=10000 type='.js'",12539.69410386806,0.797467619
"old","module/module-require.js","n=10000 type='.json'",23972.803142508463,0.417139370
"old","module/module-require.js","n=10000 type='dir'",10268.153959891344,0.973884891
"new","module/module-require.js","n=10000 type='.js'",11891.246879808166,0.840954704
"new","module/module-require.js","n=10000 type='.json'",25253.084391525113,0.395991232
"new","module/module-require.js","n=10000 type='dir'",10329.371203112301,0.968113141
"old","module/module-require.js","n=10000 type='.js'",12494.419851532082,0.800357289
"old","module/module-require.js","n=10000 type='.json'",23894.901658572842,0.418499316
"old","module/module-require.js","n=10000 type='dir'",10386.519523268102,0.962786425
"new","module/module-require.js","n=10000 type='.js'",13031.959521493083,0.767344311
"new","module/module-require.js","n=10000 type='.json'",25596.85112042562,0.390673054
"new","module/module-require.js","n=10000 type='dir'",10288.501908861253,0.971958803
"old","module/module-require.js","n=10000 type='.js'",12650.96678567992,0.790453423
"old","module/module-require.js","n=10000 type='.json'",24316.367338588036,0.411245638
"old","module/module-require.js","n=10000 type='dir'",10308.634624106751,0.970060572
"new","module/module-require.js","n=10000 type='.js'",12837.50907356746,0.778967317
"new","module/module-require.js","n=10000 type='.json'",25965.831022867722,0.385121508
"new","module/module-require.js","n=10000 type='dir'",10238.734042950911,0.976683246
"old","module/module-require.js","n=10000 type='.js'",12467.470903484977,0.802087294
"old","module/module-require.js","n=10000 type='.json'",23723.261849625767,0.421527194
"old","module/module-require.js","n=10000 type='dir'",10347.789483945733,0.966389973
"new","module/module-require.js","n=10000 type='.js'",12876.099652549137,0.776632697
"new","module/module-require.js","n=10000 type='.json'",25722.48743964508,0.388764890
"new","module/module-require.js","n=10000 type='dir'",10235.538177913588,0.976988198
"old","module/module-require.js","n=10000 type='.js'",12362.731721866501,0.808882715
"old","module/module-require.js","n=10000 type='.json'",23838.2620831359,0.419493668
"old","module/module-require.js","n=10000 type='dir'",10241.58110872852,0.976411737
"new","module/module-require.js","n=10000 type='.js'",13150.629550422755,0.760419869
"new","module/module-require.js","n=10000 type='.json'",25601.63791496482,0.390600009
"new","module/module-require.js","n=10000 type='dir'",10308.160552713673,0.970105185
"old","module/module-require.js","n=10000 type='.js'",12640.215988325557,0.791125722
"old","module/module-require.js","n=10000 type='.json'",24097.296826449143,0.414984306
"old","module/module-require.js","n=10000 type='dir'",10435.238630438625,0.958291454
"new","module/module-require.js","n=10000 type='.js'",13062.253825253929,0.765564667
"new","module/module-require.js","n=10000 type='.json'",25822.641642863935,0.387257049
"new","module/module-require.js","n=10000 type='dir'",10291.394845157438,0.971685583
"old","module/module-require.js","n=10000 type='.js'",12598.644583893467,0.793736178
"old","module/module-require.js","n=10000 type='.json'",23899.04536577734,0.418426755
"old","module/module-require.js","n=10000 type='dir'",10355.062383467559,0.965711227
"new","module/module-require.js","n=10000 type='.js'",13202.320423466752,0.757442607
"new","module/module-require.js","n=10000 type='.json'",26003.86666055541,0.384558194
"new","module/module-require.js","n=10000 type='dir'",10281.452172579879,0.972625251
"old","module/module-require.js","n=10000 type='.js'",12441.27221861923,0.803776320
"old","module/module-require.js","n=10000 type='.json'",24160.822163785248,0.413893200
"old","module/module-require.js","n=10000 type='dir'",10368.082469420033,0.964498501
"new","module/module-require.js","n=10000 type='.js'",13023.332558332177,0.767852618
"new","module/module-require.js","n=10000 type='.json'",25581.6299502315,0.390905506
"new","module/module-require.js","n=10000 type='dir'",10111.29748827615,0.988992759
"old","module/module-require.js","n=10000 type='.js'",12473.841745759357,0.801677639
"old","module/module-require.js","n=10000 type='.json'",23729.139654007315,0.421422780
"old","module/module-require.js","n=10000 type='dir'",10335.711036439894,0.967519309
"new","module/module-require.js","n=10000 type='.js'",13003.42046653183,0.769028428
"new","module/module-require.js","n=10000 type='.json'",25628.33416138054,0.390193133
"new","module/module-require.js","n=10000 type='dir'",10351.654673802,0.966029134
"old","module/module-require.js","n=10000 type='.js'",12472.66078505459,0.801753545
"old","module/module-require.js","n=10000 type='.json'",23747.317372419366,0.421100196
"old","module/module-require.js","n=10000 type='dir'",10118.035494491449,0.988334149
"new","module/module-require.js","n=10000 type='.js'",13057.897972699184,0.765820044
"new","module/module-require.js","n=10000 type='.json'",26330.69354701871,0.379784907
"new","module/module-require.js","n=10000 type='dir'",10258.962602129563,0.974757428
"old","module/module-require.js","n=10000 type='.js'",12581.573765852543,0.794813128
"old","module/module-require.js","n=10000 type='.json'",24015.217809524147,0.416402636
"old","module/module-require.js","n=10000 type='dir'",10210.999949797619,0.979336015
"new","module/module-require.js","n=10000 type='.js'",13312.290595588885,0.751185525
"new","module/module-require.js","n=10000 type='.json'",25671.684148557302,0.389534241
"new","module/module-require.js","n=10000 type='dir'",10277.851773742614,0.972965968
