"binary","filename","configuration","rate","time"
"old","streams/creation.js","kind='duplex' n=50000000",7968344.410597172,6.274829177
"old","streams/creation.js","kind='readable' n=50000000",11995362.932399012,4.168277382
"old","streams/creation.js","kind='transform' n=50000000",4662817.536529015,10.723130298
"old","streams/creation.js","kind='writable' n=50000000",11235328.097099235,4.450248321
"new","streams/creation.js","kind='duplex' n=50000000",3503233.235722174,14.272529585
"new","streams/creation.js","kind='readable' n=50000000",8612323.115879195,5.805634476
"new","streams/creation.js","kind='transform' n=50000000",4447588.381812299,11.242047534
"new","streams/creation.js","kind='writable' n=50000000",8130393.419345294,6.149763907
"old","streams/creation.js","kind='duplex' n=50000000",7945192.400054558,6.293113808
"old","streams/creation.js","kind='readable' n=50000000",12310354.426003514,4.061621483
"old","streams/creation.js","kind='transform' n=50000000",4695584.137904059,10.648302433
"old","streams/creation.js","kind='writable' n=50000000",11337079.82100964,4.410306780
"new","streams/creation.js","kind='duplex' n=50000000",3922390.8602501624,12.747327276
"new","streams/creation.js","kind='readable' n=50000000",8462103.274385476,5.908696500
"new","streams/creation.js","kind='transform' n=50000000",3554557.393627081,14.066448917
"new","streams/creation.js","kind='writable' n=50000000",8157568.526410378,6.129277350
"old","streams/creation.js","kind='duplex' n=50000000",8853613.870349564,5.647411411
"old","streams/creation.js","kind='readable' n=50000000",12270829.702251663,4.074704092
"old","streams/creation.js","kind='transform' n=50000000",4753552.036213806,10.518450123
"old","streams/creation.js","kind='writable' n=50000000",11368607.413833007,4.398076051
"new","streams/creation.js","kind='duplex' n=50000000",4039735.835778916,12.377046924
"new","streams/creation.js","kind='readable' n=50000000",8666205.55889887,5.769537736
"new","streams/creation.js","kind='transform' n=50000000",3556182.473920736,14.060020926
"new","streams/creation.js","kind='writable' n=50000000",8114859.077379173,6.161536451
"old","streams/creation.js","kind='duplex' n=50000000",8046344.810285478,6.214001659
"old","streams/creation.js","kind='readable' n=50000000",12317881.128345257,4.059139675
"old","streams/creation.js","kind='transform' n=50000000",3773058.431026737,13.251848842
"old","streams/creation.js","kind='writable' n=50000000",11208941.929299207,4.460724332
"new","streams/creation.js","kind='duplex' n=50000000",4069484.27943121,12.286569149
"new","streams/creation.js","kind='readable' n=50000000",8387188.97364205,5.961472927
"new","streams/creation.js","kind='transform' n=50000000",4516943.767626518,11.069431583
"new","streams/creation.js","kind='writable' n=50000000",8001566.5466985125,6.248776375
"old","streams/creation.js","kind='duplex' n=50000000",8817894.210425517,5.670288031
"old","streams/creation.js","kind='readable' n=50000000",12494053.936050214,4.001903646
"old","streams/creation.js","kind='transform' n=50000000",4743438.499357259,10.540876625
"old","streams/creation.js","kind='writable' n=50000000",11529613.905206544,4.336658661
"new","streams/creation.js","kind='duplex' n=50000000",3927723.7019610284,12.730019674
"new","streams/creation.js","kind='readable' n=50000000",8652185.051287193,5.778887033
"new","streams/creation.js","kind='transform' n=50000000",4294118.734041728,11.643832669
"new","streams/creation.js","kind='writable' n=50000000",8114759.061573447,6.161612393
"old","streams/creation.js","kind='duplex' n=50000000",7938635.205960347,6.298311826
"old","streams/creation.js","kind='readable' n=50000000",12290177.423825571,4.068289519
"old","streams/creation.js","kind='transform' n=50000000",3803245.506885959,13.146666422
"old","streams/creation.js","kind='writable' n=50000000",11379458.403981106,4.393882224
"new","streams/creation.js","kind='duplex' n=50000000",3893154.9757115724,12.843054107
"new","streams/creation.js","kind='readable' n=50000000",8563531.946308421,5.838712381
"new","streams/creation.js","kind='transform' n=50000000",3595750.8982868935,13.905301400
"new","streams/creation.js","kind='writable' n=50000000",8112627.282656063,6.163231498
"old","streams/creation.js","kind='duplex' n=50000000",8926180.646722853,5.601499900
"old","streams/creation.js","kind='readable' n=50000000",12389590.394407658,4.035645926
"old","streams/creation.js","kind='transform' n=50000000",3868998.223846682,12.923241911
"old","streams/creation.js","kind='writable' n=50000000",11638737.162716158,4.295998724
"new","streams/creation.js","kind='duplex' n=50000000",3529332.5888211885,14.166984477
"new","streams/creation.js","kind='readable' n=50000000",8409602.26585094,5.945584395
"new","streams/creation.js","kind='transform' n=50000000",4544962.778416028,11.001190205
"new","streams/creation.js","kind='writable' n=50000000",8149799.973754384,6.135119900
"old","streams/creation.js","kind='duplex' n=50000000",8980813.80555672,5.567424187
"old","streams/creation.js","kind='readable' n=50000000",12427140.795067973,4.023451639
"old","streams/creation.js","kind='transform' n=50000000",3845767.2033690363,13.001306984
"old","streams/creation.js","kind='writable' n=50000000",11562376.896457156,4.324370365
"new","streams/creation.js","kind='duplex' n=50000000",3357711.206485891,14.891096025
"new","streams/creation.js","kind='readable' n=50000000",8655199.477008117,5.776874367
"new","streams/creation.js","kind='transform' n=50000000",4404996.335730228,11.350747240
"new","streams/creation.js","kind='writable' n=50000000",8151885.540092498,6.133550300
"old","streams/creation.js","kind='duplex' n=50000000",8796101.13549005,5.684336643
"old","streams/creation.js","kind='readable' n=50000000",12382510.993083673,4.037953209
"old","streams/creation.js","kind='transform' n=50000000",4659995.18344389,10.729624824
"old","streams/creation.js","kind='writable' n=50000000",11317340.675036488,4.417999019
"new","streams/creation.js","kind='duplex' n=50000000",3831489.234614467,13.049756097
"new","streams/creation.js","kind='readable' n=50000000",8382778.713478907,5.964609315
"new","streams/creation.js","kind='transform' n=50000000",4345357.403264293,11.506533378
"new","streams/creation.js","kind='writable' n=50000000",7990305.118615859,6.257583316
"old","streams/creation.js","kind='duplex' n=50000000",8017839.596889002,6.236093825
"old","streams/creation.js","kind='readable' n=50000000",12339653.175799616,4.051977741
"old","streams/creation.js","kind='transform' n=50000000",4696357.905727,10.646548028
"old","streams/creation.js","kind='writable' n=50000000",11246549.495352985,4.445808025
"new","streams/creation.js","kind='duplex' n=50000000",3424953.8028377136,14.598737057
"new","streams/creation.js","kind='readable' n=50000000",8593055.65787474,5.818651943
"new","streams/creation.js","kind='transform' n=50000000",4542617.290704379,11.006870445
"new","streams/creation.js","kind='writable' n=50000000",8057378.741795201,6.205492084
"old","streams/creation.js","kind='duplex' n=50000000",7904612.7850246485,6.325420531
"old","streams/creation.js","kind='readable' n=50000000",12373823.304003285,4.040788265
"old","streams/creation.js","kind='transform' n=50000000",4747563.9573281845,10.531716992
"old","streams/creation.js","kind='writable' n=50000000",11087992.907083673,4.509382394
"new","streams/creation.js","kind='duplex' n=50000000",3287324.3683872432,15.209938052
"new","streams/creation.js","kind='readable' n=50000000",8658041.212243617,5.774978286
"new","streams/creation.js","kind='transform' n=50000000",3636399.7163249236,13.749863574
"new","streams/creation.js","kind='writable' n=50000000",8203235.168358819,6.095156237
"old","streams/creation.js","kind='duplex' n=50000000",8010824.594048544,6.241554713
"old","streams/creation.js","kind='readable' n=50000000",12407926.34355941,4.029682206
"old","streams/creation.js","kind='transform' n=50000000",3832908.7916931915,13.044922986
"old","streams/creation.js","kind='writable' n=50000000",11584712.280499855,4.316032957
"new","streams/creation.js","kind='duplex' n=50000000",3782436.274708893,13.218993360
"new","streams/creation.js","kind='readable' n=50000000",8361740.171513606,5.979616560
"new","streams/creation.js","kind='transform' n=50000000",3533159.7656915453,14.151638566
"new","streams/creation.js","kind='writable' n=50000000",8243367.196661519,6.065482564
"old","streams/creation.js","kind='duplex' n=50000000",8962095.12802753,5.579052586
"old","streams/creation.js","kind='readable' n=50000000",12051981.580122553,4.148695355
